CarNumber,Refund,Fines,Make,Model,Year
Y163O8161RUS,2,3200.0,Ford,Focus,2017
E432XX77RUS,1,6500.0,Toyota,Camry,1990
7184TT36RUS,1,2100.0,Ford,Focus,1995
X582HE161RUS,2,2000.0,Ford,Focus,1989
92918M178RUS,1,5700.0,Ford,Focus,1982
H234YH197RUS,2,6000.0,Ford,Focus,2016
E40577152RUS,1,8594.5864661654,Ford,Focus,1983
707987163RUS,2,2200.0,Ford,Focus,2004
K330T8197RUS,2,8200.0,Skoda,Octavia,1995
X786CO96RUS,1,8594.5864661654,Ford,Focus,2004
C477M7161RUS,1,2500.0,Ford,Focus,2007
O21997197RUS,1,2000.0,Ford,Focus,2001
M592CH197RUS,2,8594.5864661654,Skoda,Octavia,2001
9020YC197RUS,2,145000.0,Skoda,Octavia,1989
8182XX154RUS,1,200.0,Ford,Focus,1985
7830C8197RUS,2,8594.5864661654,Ford,Focus,2002
7066C8197RUS,2,15000.0,Volkswagen,Passat,2009
M298CH161RUS,2,8594.5864661654,Ford,Focus,2009
E445TC197RUS,1,8594.5864661654,Ford,Focus,1992
8440XX154RUS,1,6200.0,Ford,Focus,1990
9371CE154RUS,2,8594.5864661654,Skoda,Octavia,1982
9182CE154RUS,2,19800.0,Ford,Focus,1984
83298C154RUS,2,8594.5864661654,Ford,Focus,2014
Y7659C197RUS,2,8594.5864661654,Ford,Focus,2005
C922YE197RUS,2,3800.0,Volkswagen,Golf,1986
7364C8197RUS,2,8594.5864661654,Ford,Focus,2019
M5039X197RUS,2,7400.0,Volkswagen,,2015
8603T8154RUS,1,1500.0,Ford,Focus,2010
92928M178RUS,1,8594.5864661654,Ford,Focus,1993
O672E8197RUS,2,63300.0,Skoda,Octavia,2017
E42277152RUS,2,10600.0,Ford,Focus,1991
C903MC161RUS,1,1600.0,Volkswagen,Jetta,2003
T7318T163RUS,2,12000.0,Toyota,Camry,1987
Y7719C197RUS,1,9200.0,Ford,Focus,2009
T011MY163RUS,1,2000.0,Ford,Focus,1986
H115YO163RUS,1,2200.0,Ford,Focus,2005
73467Y96RUS,1,800.0,Ford,Focus,2017
O134HE197RUS,1,8594.5864661654,Ford,Focus,2004
H968HY161RUS,1,2400.0,Ford,Focus,1998
Y654E8750RUS,1,500.0,Skoda,Octavia,1987
H963HY161RUS,2,2800.0,Ford,Focus,2011
H232YH197RUS,2,8600.0,Ford,Focus,2009
7843C8197RUS,2,12300.0,Ford,Focus,1985
X791O796RUS,1,500.0,Ford,Focus,2013
H958HY161RUS,1,1800.0,Ford,Focus,1985
708587163RUS,2,1400.0,Ford,Focus,2014
